Number,Title,Ingredients,Instructions,Image_Name,Cleaned_Ingredients
83,Dashi,"['1 gallon cold water', '1 (6-inch) square dashima (kombu)', '3 medium dried shiitake mushrooms', '12 large dried anchovies (gutted and heads removed)']","Put the water, dashima, shiitake mushrooms, and anchovies in a covered stockpot or other large pot and let stand at room temperature overnight, or for 8 to 12 hours.
Remove the lid, set the pot over high heat, and heat until the surface of the water begins to ripple; pay attention, and do not let it come to a boil. Lower the heat to maintain a very gentle simmer (the ideal temperature is a few degrees below a light boil) and simmer for 80 to 90 minutes. Taste the dashi every 20 minutes to monitor the changes in flavor and texture. You will notice the texture becoming softer. I describe it as having a slippery, slightly viscous texture compared to tap water. The sea flavor will become stronger, and the dashi will become darker, like pale Earl Grey tea. The sweetness will take a while to appear, but when it does, the dashi is almost ready. When you can taste the sweetness and deep sea flavors, and the dashi has a very soft texture, it is done. Be vigilant, because dashi will become bitter if cooked too long.
Strain the dashi into a covered container and store in the refrigerator for up to 2 days. After 24 hours, the dashi will begin to lose some of its flavor and it will turn slightly flat.
Itâ€™s best to use dashi the same day you make it, though if you keep it refrigerated, you can use it for another day or two. By the third day, it will no longer taste fresh.
Vegetarians can make a dashi from just dashima and dried shiitakes.",my-korea-dashi-hooni-kim,"['1 gallon cold water', '1 (6-inch) square dashima (kombu)', '3 medium dried shiitake mushrooms', '12 large dried anchovies (gutted and heads removed)']"
84,Ginger and Tamarind Refresher,"['2Â½ cups (600 ml) water', '2Â½ oz (70 g) sour tamarind pulp or paste', '8 oz (225 g) fresh ginger, preferably young', '1 cup (200 g) sugar', 'One 1 L bottle chilled club soda or 4 cups (960 ml) chilled water']","Bring 1Â½ cups (360 ml) of the water to a boil. Put the tamarind pulp in a heat-proof nonreactive bowl, and cover with the boiling water. Cover and let sit for about 1 hour, until the pulp has become soft and mushy. Using a small potato masher or clean hands, massage and squeeze the block to soften the pulp. Strain through a fine-mesh strainer suspended over a medium bowl, pressing the pulp through the strainer with a large spoon. Discard the seeds and other solids left behind. Refrigerate the tamarind extract in an airtight container in the refrigerator until ready to use, for up to 4 days.
Rinse the ginger and gently scrub to remove any traces of dirt. If the ginger is young, with a thin skin, leave the skin on. Otherwise, peel. Cut into thin slices. In a medium saucepan, combine the ginger, sugar, and remaining 1 cup (240 ml) water. Bring to a boil over medium-high heat and immediately remove the saucepan from the heat. Cover and steep for 10 minutes. Strain the ginger simple syrup through a fine-mesh strainer and discard the ginger.
In a large pitcher, mix the tamarind extract and the ginger simple syrup together. Fill eight tall glasses with ice. Pour 4 oz (120 ml) of the tamarind-ginger syrup into each glass, top with 4 oz (120 ml) of the club soda or chilled water, and stir. Store any remaining tamarind-ginger syrup in an airtight container in the refrigerator for up to 1 week.
This rejuvenating drink combines the mild heat of young ginger and the sourness of tamarind. Itâ€™s wonderful during the warmer months. Young ginger requires no peeling before use because its outer skin is so thin. I recommend using South Asian tamarind, which is a lot more sour than the Mexican variety. Look for it in Asian and Indian markets.",ginger-and-tamarind-refresher-nik-sharma,"['2Â½ cups (600 ml) water', '2Â½ oz (70 g) sour tamarind pulp or paste', '8 oz (225 g) fresh ginger, preferably young', '1 cup (200 g) sugar', 'One 1 L bottle chilled club soda or 4 cups (960 ml) chilled water']"
85,Sumac and Saffron Refresher,"['15 to 20 saffron strands, plus a few extra strands for garnish', 'Â½ cup (100 g) sugar', '3 green cardamom pods, smashed', 'Â¼ cup (30 g) ground sumac', '3 cups (700 ml) chilled club soda or water']","Grind the saffron with 2 Tbsp. of sugar to a fine powder using a mortar and pestle.
In a medium saucepan over medium-high heat, combine 1 cup (240 ml) water, sugar, cardamom, and powdered saffron mixture and bring to simmer, stirring until the sugar dissolves. Remove from the heat and stir in the sumac. Cover the saucepan with a lid and let it steep for 30 minutes, no more. Strain the liquid through a fine mesh strainer over a medium bowl and chill before ready to serve.
To serve, fill four tall glasses with ice. In a large pitcher, stir the syrup with the chilled club soda or water. Pour 1 cup (120 ml) of the drink into each glass. Garnish each glass with 1 or 2 saffron strands. Store any leftovers in an airtight container in the refrigerator for up to 1 week.
Sumac is rich in citric, malic, and tartaric acids but also bitter tannins. Steeping it in water dissolves the water-soluble acids. Gallotannin, one of the main tannins present in sumac, is bitter to taste and dissolves in water easily. Avoid steeping the sumac for too long or its tannins will make the syrup bitter. Saffron is ground to a fine powder using a little sugar as an abrasive. Grinding saffron increases the amount of color and flavor extracted than would be achieved if the strands were used directly. Club soda if used, adds a second note of acidity from the carbonic acid as well as the crackling sound of bubbles that create a sensation via chemesthesis.",sumac-and-saffron-refresher-nik-sharma,"['15 to 20 saffron strands, plus a few extra strands for garnish', 'Â½ cup (100 g) sugar', '3 green cardamom pods, smashed', 'Â¼ cup (30 g) ground sumac', '3 cups (700 ml) chilled club soda or water']"
86,Peanut Butter Brookies,"['160g (5Â¾ oz / Â½ cup + 2 tablespoons) smooth peanut butter', '220g (8 oz / 1 cup) light brown sugar', '1 large egg, plus 2 large egg yolks', '100g (3Â½ oz / Â¾ cup) all-purpose flour', '1 teaspoon bicarbonate of soda (baking soda)', 'Â½ teaspoon fine sea salt', '100g (3 oz) salted peanuts, roughly chopped', '150g (5Â½ oz / 1â…“ sticks) unsalted butter, diced, plus extra for greasing', '85g (3 oz / 1 cup) cocoa powder', '100g (3Â½ oz / Â½ cup) caster (superfine) sugar', '100g (3Â½ oz / â…“ cup + 2 tablespoons) light brown sugar', 'Â¼ teaspoon fine sea salt', '1 teaspoon vanilla extract', '2 large eggs', '70g (2Â½ oz / Â½ cup + 1 tablespoon) all-purpose flour']","Preheat the oven to 180Â°C (350Â°F), Gas Mark 4. Lightly grease a 13x9"" baking tin and line with a piece of parchment paper that overhangs the two long sides. Secure in place with metal clips.
For the peanut butter cookie layer, mix the peanut butter and brown sugar together in a large bowl for a couple of minutes until combined and slightly lightened. Add the egg and egg yolks and beat together for a further 2â€“3 minutes. Add all the remaining ingredients (reserving 3 tablespoons of the peanuts for sprinkling over later) and gently mix together to form a uniform cookie dough. Spread the cookie dough in an even layer in the prepared tin, then set aside.
For the brownie layer, add the butter and cocoa to a small saucepan over a medium heat, stirring constantly, until melted and smooth. Remove from the heat and set aside. Place the sugars, salt, vanilla and eggs in a large bowl and whisk together with an electric mixer for 2â€“3 minutes or until slightly thickened and pale. Pour in the melted butter mixture, mixing briefly until combined, then fold in the flour. Pour the batter over the cookie layer and spread into an even layer, then sprinkle over the reserved peanuts.
Bake for about 25â€“30 minutes, or until a skewer inserted into the middle comes out with a few moist crumbs.
Leave the brookies to cool completely in the tin, before using the parchment paper to lift them from the tin and cutting into squares.Store in a sealed container for 3â€“4 days.",peanut-butter-brookies-edd-kimber,"['160g (5Â¾ oz / Â½ cup + 2 tablespoons) smooth peanut butter', '220g (8 oz / 1 cup) light brown sugar', '1 large egg, plus 2 large egg yolks', '100g (3Â½ oz / Â¾ cup) all-purpose flour', '1 teaspoon bicarbonate of soda (baking soda)', 'Â½ teaspoon fine sea salt', '100g (3 oz) salted peanuts, roughly chopped', '150g (5Â½ oz / 1â…“ sticks) unsalted butter, diced, plus extra for greasing', '85g (3 oz / 1 cup) cocoa powder', '100g (3Â½ oz / Â½ cup) caster (superfine) sugar', '100g (3Â½ oz / â…“ cup + 2 tablespoons) light brown sugar', 'Â¼ teaspoon fine sea salt', '1 teaspoon vanilla extract', '2 large eggs', '70g (2Â½ oz / Â½ cup + 1 tablespoon) all-purpose flour']"
87,"Tacos de Gobernador (Shrimp, Poblano, and Cheese Tacos)","['4 teaspoons neutral cooking oil, such as canola oil', '1 onion, peeled and diced', '1 garlic clove, peeled and minced', '2 poblano chiles, stems removed, cut into 1â„4-inch-wide strips', '8 corn tortillas', 'Juice of 3 limes', '1 slice bacon, diced small', '8 ounces peeled and deveined medium shrimp (preferably sizes 36/40 or 41/50; if you have bigger shrimp, slice them in half lengthwise)', '1 teaspoon kosher salt', '1 cup Queso Asadero cheese (if not available, substitute Teleme or Monterey Jack)', '2 limes, cut into wedges', 'Homemade or store-bought tangy red salsa']","Warm 3 teaspoons of the oil in a frying pan over medium-low heat. Add the onion and cook for 5 minutes, stirring gently. Add the garlic and continue to cook for 3 minutes. (If, at any time during the cooking process, the items in the pan dry out at all, deglaze the pan with some lime juice, scraping up the browned bits with a wooden spoon, and continue.) Turn the heat to medium and add the chiles. Cook for 10 minutes, or until the chiles are thoroughly cooked.
At this point, warm a separate frying pan over medium heat and add the remaining 1 teaspoon oil. Interleaved with finishing the rest of the recipe, heat each tortilla in the oil-coated pan for about 20 seconds per side, just long enough to make them the slightest bit golden but still pliable, and put between two towels to stay warm and wick away any excess oil.
Once the chiles have cooked for 10 minutes, pour the lime juice on the ingredients in the pan. Add the diced bacon to the pan and turn the heat to medium-high. When the pan has heated up and the bacon has started to turn color, add the shrimp and use the salt to season everything in the pan. Cook for 2 to 3 minutes, stirring and flipping the shrimp as necessary to cook them evenly. The shrimp should be bright pink and white and opaque. If they are still translucent, cook them a little longer.
Sprinkle the cheese over everything in the pan and turn the heat to low. Continue stirring until the cheese is melted. Remove the pan from the heat. Distribute the cheesy shrimp mixture equally among the tortillas, making a plate full of tacos. Serve along with the lime wedges and red salsa, if desired.",tacos-de-gobernador-shrimp-poblano-and-cheese,"['4 teaspoons neutral cooking oil, such as canola oil', '1 onion, peeled and diced', '1 garlic clove, peeled and minced', '2 poblano chiles, stems removed, cut into 1â„4-inch-wide strips', '8 corn tortillas', 'Juice of 3 limes', '1 slice bacon, diced small', '8 ounces peeled and deveined medium shrimp (preferably sizes 36/40 or 41/50; if you have bigger shrimp, slice them in half lengthwise)', '1 teaspoon kosher salt', '1 cup Queso Asadero cheese (if not available, substitute Teleme or Monterey Jack)', '2 limes, cut into wedges', 'Homemade or store-bought tangy red salsa']"
88,Kimchi Toast,"['4 oz. cream cheese, room temperature', 'Â¾ cup finely chopped kimchi; plus more for serving (optional)', '2 scallions, thinly sliced on a diagonal', '1 cup cilantro leaves with tender stems', 'Â½ lime', 'Kosher salt', '4 (Â¾""-thick) slices country-style bread, grilled or toasted', 'Chili oil and toasted white sesame seeds (for serving)']","Mix cream cheese and Â¾ cup kimchi in a medium bowl.
Toss scallions and cilantro in a small bowl to combine. Squeeze in juice from lime, season with salt, and toss again.
Smear kimchi cream cheese over each slice of bread. Top with scallion salad and more kimchi (if using). Drizzle with chili oil; sprinkle with sesame seeds.",kimchi-toast,"['4 oz. cream cheese, room temperature', 'Â¾ cup finely chopped kimchi; plus more for serving (optional)', '2 scallions, thinly sliced on a diagonal', '1 cup cilantro leaves with tender stems', 'Â½ lime', 'Kosher salt', '4 (Â¾""-thick) slices country-style bread, grilled or toasted', 'Chili oil and toasted white sesame seeds (for serving)']"
89,Buttered Tomatoes with Ginger,"['4 scallions', '4 Tbsp. unsalted butter', '1 (1"") piece ginger, peeled, cut into matchsticks', '1Â½ pounds tomatoes (about 3 medium), cut into (1"") pieces', '2 Tbsp. plus 1Â½ tsp. white or regular soy sauce', 'Kosher salt (optional)', 'Toasted country-style bread or cooked rice or pasta (for serving)']","Trim dark green tops from scallions and thinly slice; set aside for serving. Finely chop remaining white and pale green parts. Heat butter in a large skillet over medium. Add white and pale green parts of scallions and ginger and cook, stirring often, until fragrant, about 1 minute.
Add tomatoes and cook, turning gently with a spoon, until juicy and just warmed through, about 2 minutes. Add soy sauce and toss to combine. Taste and season with kosher salt if needed. Top with reserved scallion greens.
Spoon tomatoes over toast and sprinkle with more salt if desired.",buttered-tomatoes-with-ginger,"['4 scallions', '4 Tbsp. unsalted butter', '1 (1"") piece ginger, peeled, cut into matchsticks', '1Â½ pounds tomatoes (about 3 medium), cut into (1"") pieces', '2 Tbsp. plus 1Â½ tsp. white or regular soy sauce', 'Kosher salt (optional)', 'Toasted country-style bread or cooked rice or pasta (for serving)']"
90,Burst Cherry Tomato Pasta,"['Â½ cup extra-virgin olive oil, plus more for drizzling', '6 garlic cloves, smashed', '2Â½ lb. cherry tomatoes (about 4 pints)', '2 large sprigs basil, plus 1 cup basil leaves, torn if large', 'Â¾ tsp. crushed red pepper flakes', '1Â½ tsp. kosher salt, plus more', 'Pinch of sugar (optional)', '12 oz. casarecce or other medium-size pasta', '1 oz. Parmesan, finely grated (about Â½ cup), plus more for serving']","Heat Â½ cup oil in a large heavy pot over low. Add garlic and cook, stirring often with a wooden spoon, until softened but not browned, about 2 minutes.
Increase heat to medium and add tomatoes, basil sprigs, red pepper flakes, and 1Â½ tsp. salt. Cook, stirring to coat, until some of the tomatoes begin to burst and release their juices, about 4 minutes. Smash some but not all of the tomatoes with the spoon to help release their liquid, then continue to cook, stirring occasionally, until a chunky, thickened sauce forms (about half the tomatoes should still be intact), 10â€“12 minutes. Taste and add sugar if sauce is too tart and add more salt if needed. Pluck out and discard basil sprigs.
Meanwhile, cook pasta in a large pot of boiling salted water, stirring occasionally, until al dente.
Drain pasta, add to pot with sauce, and cook, stirring, until coated, about 1 minute. Remove from heat and stir in 1 oz. Parmesan.
Divide pasta among bowls; drizzle with oil. Top with more Parmesan and 1 cup basil leaves.",burst-cherry-tomato-pasta,"['Â½ cup extra-virgin olive oil, plus more for drizzling', '6 garlic cloves, smashed', '2Â½ lb. cherry tomatoes (about 4 pints)', '2 large sprigs basil, plus 1 cup basil leaves, torn if large', 'Â¾ tsp. crushed red pepper flakes', '1Â½ tsp. kosher salt, plus more', 'Pinch of sugar (optional)', '12 oz. casarecce or other medium-size pasta', '1 oz. Parmesan', 'finely grated (about Â½ cup)', 'plus more for serving']"
91,Salted PB&J; Ice Cream Pie,"['1 sleeve (110 g) Ritz crackers or other cracker of your choice', 'â…“ cup (45 g) raw peanuts or other nut or seed, finely chopped', 'â…“ cup (67 g; packed) light or dark brown sugar', 'Â½ tsp. Diamond Crystal or Â¼ tsp. Morton kosher salt', '6 Tbsp. unsalted butter, melted', '3 large eggs', 'Â½ cup (100 g; packed) light or dark brown sugar', 'Â½ tsp. Diamond Crystal or Â¼ tsp. Morton kosher salt', '1 tsp. vanilla extract', 'Â½ cup (128 g) natural peanut butter or other natural nut or seed butter', '1Â½ cups heavy cream', 'â…“ cup (100 g) grape jelly (preferably Bonne Maman) or other jelly, jam, or compote']","Preheat oven to 275Â°F. Place crackers in a deep pie dish (a shallower one will work but you may have some filling left over) and gently crush with your hands until you have a mix of dime-size pieces, small crumbs, and everything in between. Add peanuts, brown sugar, and salt and toss to combine. Drizzle in butter and toss to evenly coat. Using your hands and the bottom of a measuring cup, press firmly and evenly into bottom and up sides of dish. (Mixture will look and feel crumbly, but it will hold together when baked.) Bake crust until a shade darker, 20â€“25 minutes. Let cool.
Do Ahead: Crust can be baked 3 days ahead. Store tightly wrapped at room temperature, or freeze up to 1 month.
Pour water into a medium saucepan to come 1Â½"" up the sides and bring to a bare simmer over medium-low heat. Whisk eggs, brown sugar, and salt in a large heatproof bowl just to combine (or use the bowl of a stand mixer if youâ€™ve got one). Set over saucepan (bowl should not touch water) and heat egg mixture, stirring constantly with a heatproof rubber spatula, until sugar dissolves, about 4 minutes (mixture will no longer feel gritty when rubbed between your fingers). If you are concerned about undercooked eggs, heat mixture longer, still stirring constantly, until an instant-read thermometer registers 165Â°F, about 3 minutes more. Remove bowl from heat and add vanilla to egg mixture. Using an electric mixer, beat on high speed until thick and pale and doubled in volume, about 10 minutes. (Or, if using a stand mixer, beat with the whisk attachment, 6â€“8 minutes.)
Using spatula, mix peanut butter in another large bowl to loosen up and smooth out. Stir one third of egg mixture into peanut butter to lighten, then gently fold in half of remaining egg mixture, running spatula down sides and along bottom of bowl, then lifting up through center and over top while rotating bowl, until just combined. Repeat with remaining egg mixture (it will lose a lot of volume, and thatâ€™s okay).
Starting on low speed and gradually increasing to medium-high, beat cream in the same bowl you used for egg mixture (no need to wash) until soft peaks form, about 2 minutes. Gently fold into peanut butter mixture and scrape into crust. Dollop jelly all over; swirl with a butter knife. (For more defined swirls, freeze pie 30 minutes before adding jelly.) Freeze at least 8 hours before serving.
To slice, run a chefâ€™s knife under hot water to warm up the blade, then wipe to clean and dry between slices. Use an offset spatula or fork to loosen slices from dish. If pie is frozen very hard, you may need to let it temper in the fridge 30 minutes before serving.
Do Ahead: Pie can be made 2 weeks ahead. Wrap tightly and freeze.",salted-peanut-butter-jelly-pbj-ice-cream-pie,"['1 sleeve (110 g) Ritz crackers or other cracker of your choice', 'â…“ cup (45 g) raw peanuts or other nut or seed, finely chopped', 'â…“ cup (67 g; packed) light or dark brown sugar', 'Â½ tsp. Diamond Crystal or Â¼ tsp. Morton kosher salt', '6 Tbsp. unsalted butter, melted', '3 large eggs', 'Â½ cup (100 g; packed) light or dark brown sugar', 'Â½ tsp. Diamond Crystal or Â¼ tsp. Morton kosher salt', '1 tsp. vanilla extract', 'Â½ cup (128 g) natural peanut butter or other natural nut or seed butter', '1Â½ cups heavy cream', 'â…“ cup (100 g) grape jelly (preferably Bonne Maman) or other jelly', 'jam', 'or compote']"
92,Farmers Market Farro Bowls,"['1 cup semi-pearled farro', '1 tsp. kosher salt, plus more', '4 large eggs', '1 large watermelon radish or 6â€“8 red radishes, trimmed, thinly sliced on a mandoline if youâ€™ve got one', 'Â¼ cup unseasoned rice vinegar', '2 Tbsp. sugar, divided', '1 (14-oz.) block extra-firm tofu, drained', '3 Tbsp. plus Â¼ cup grapeseed or vegetable oil, divided', '2 Tbsp. fresh lime juice', '2 Tbsp. gochujang (Korean hot pepper paste)', '1 Tbsp. mayonnaise', '1 Tbsp. plus 1 tsp. soy sauce', '1 Tbsp. plus 1 tsp. toasted sesame oil', '1 medium zucchini or summer squash, halved lengthwise, cut crosswise into (Â¼""-thick) half-moons', '2â€“3 cups thinly sliced or shredded raw vegetables (such as carrots, scallions, blanched sugar snap peas, baby bok choy, cucumbers, pea shoots, or alfalfa sprouts)']","Pour farro into a medium saucepan of boiling salted water, reduce heat, and simmer, stirring occasionally, until tender, 25â€“30 minutes. Drain farro and spread out on a rimmed baking sheet; let cool.
Meanwhile, using a slotted spoon, carefully lower eggs into a small saucepan of boiling water and cook 6Â½ minutes for an oozy, jammy yolk or 7 minutes for a slightly firmer middle. Transfer eggs to a bowl of ice water with slotted spoon and let sit until cool enough to handle, about 2 minutes. Remove eggs from ice water; peel and slice in half lengthwise.
Pack radish slices into a pint jar. Whisk vinegar, 1 Tbsp. sugar, 1 tsp. salt, and Â½ cup hot water in a small bowl until sugar and salt are dissolved. Pour brine over radish slices; let cool. Cover and chill at least 1 hour before using.
Cut tofu crosswise into Â½""-thick slabs, then cut each slab on a diagonal to create 2 triangles. Pat dry with a clean kitchen towel. Heat 2 Tbsp. grapeseed oil in a large nonstick skillet over medium-high. Add tofu in a single layer, season with salt, and cook, undisturbed, until golden brown underneath, about 4 minutes. Turn over and cook until golden brown on second side, about 4 minutes. Transfer tofu to a plate; reserve skillet (no need to wipe out).
Whisk lime juice, gochujang, mayonnaise, Â¼ cup grapeseed oil, 1 Tbsp. soy sauce, 1 Tbsp. sesame oil, and remaining 1 Tbsp. sugar in a small bowl. Taste; season with salt if desired.
Heat remaining 1 Tbsp. grapeseed oil in reserved skillet over medium-high. Add zucchini, season with salt, and cook, tossing just once or twice, until tender and blistered in spots, about 4 minutes. Add remaining 1 tsp. soy sauce and 1 tsp. sesame oil and toss to coat. Transfer to a plate.
To serve, divide farro among bowls. Arrange eggs, drained pickled radish, tofu, zucchini, and raw vegetables of choice on top as desired. Drizzle each bowl with a few spoonfuls of dressing to your liking.",farmers-market-farro-bowls-with-tofu,"['1 cup semi-pearled farro', '1 tsp. kosher salt, plus more', '4 large eggs', '1 large watermelon radish or 6â€“8 red radishes, trimmed, thinly sliced on a mandoline if youâ€™ve got one', 'Â¼ cup unseasoned rice vinegar', '2 Tbsp. sugar, divided', '1 (14-oz.) block extra-firm tofu, drained', '3 Tbsp. plus Â¼ cup grapeseed or vegetable oil, divided', '2 Tbsp. fresh lime juice', '2 Tbsp. gochujang (Korean hot pepper paste)', '1 Tbsp. mayonnaise', '1 Tbsp. plus 1 tsp. soy sauce', '1 Tbsp. plus 1 tsp. toasted sesame oil', '1 medium zucchini or summer squash, halved lengthwise, cut crosswise into (Â¼""-thick) half-moons', '2â€“3 cups thinly sliced or shredded raw vegetables (such as carrots', 'scallions', 'blanched sugar snap peas', 'baby bok choy', 'cucumbers', 'pea shoots', 'or alfalfa sprouts)']"
93,Fancy and Beautiful Tomato Salad,"['1Â½ lb. heirloom tomatoes (about 3 medium), sliced into 8â€“12 wedges, depending on size', '12 oz. mixed cherry tomatoes (about 2 cups), halved, quartered if large', '1Â¾ tsp. kosher salt, divided, plus more', '1 lemon', 'Â½ garlic clove', '6 Tbsp. extra-virgin olive oil', '2 Tbsp. zaâ€™atar', '2 cups pita chips', '1Â½ tsp. (or more) honey', '3.5 oz. feta, thinly sliced into planks', 'Â½ cup basil leaves, torn if large', 'Â½ cup mint leaves, torn if large']","Gently toss heirloom and cherry tomatoes and 1Â¼ tsp. salt in a medium bowl to combine and set aside.
Finely grate lemon zest into a small bowl, then grate in garlic; set lemon aside.
Heat oil in a small saucepan or skillet over medium until just starting to shimmer. Add zaâ€™atar and cook, stirring occasionally, until fragrant and slightly darkened in color, about 1 minute. Add lemon zest and garlic, cook 10 seconds, then remove from heat. (You're looking to cook off the raw flavor of the garlic without losing the brightness of the lemon.) Transfer zaâ€™atar oil to a heatproof measuring cup.
Place pita chips in a large bowl and drizzle 2 Tbsp. zaâ€™atar oil over; season with salt. Mix well with a rubber spatula, aiming to coat chips without breaking them into too many pieces.
Cut reserved lemon in half and squeeze juice from 1 lemon half into a small bowl. Stir in honey and remaining Â½ tsp. salt. Gradually add remaining za'atar oil, stirring constantly until emulsified. Taste dressing and add more lemon juice, honey, or salt if needed.
Add feta, basil, mint, and reserved tomatoes to bowl with chips and drizzle dressing over; toss gently to combine.
Spoon salad onto platter, making sure to leave no juices behind. Eat fast for crunchy chips or let sit for a crispy-gone-soggy experience.",fancy-and-beautiful-tomato-salad,"['1Â½ lb. heirloom tomatoes (about 3 medium), sliced into 8â€“12 wedges, depending on size', '12 oz. mixed cherry tomatoes (about 2 cups), halved, quartered if large', '1Â¾ tsp. kosher salt, divided, plus more', '1 lemon', 'Â½ garlic clove', '6 Tbsp. extra-virgin olive oil', '2 Tbsp. zaâ€™atar', '2 cups pita chips', '1Â½ tsp. (or more) honey', '3.5 oz. feta, thinly sliced into planks', 'Â½ cup basil leaves, torn if large', 'Â½ cup mint leaves', 'torn if large']"
94,Chicken Thighs With Tomatoes and Feta,"['6 skin-on, bone-in chicken thighs (about 2Â¼ lb. total)', 'Â½ tsp. kosher salt, plus more', '1Â¼ lb. cherry tomatoes (about 2 pints)', 'Â¼ cup harissa paste', '3 Tbsp. red wine vinegar', '3 sprigs oregano, divided', '4 oz. feta, cut into (Â¼""-thick) planks', 'Crusty bread (for serving)']","Pat chicken thighs dry with paper towels; season all over with salt. Arrange skin side down in a cold large cast-iron skillet. Set over medium heat and cook chicken, undisturbed, rotating pan as needed for even browning, until skin is very deep golden brown and crisp and chicken releases easily from pan, 13â€“16 minutes. Using tongs, transfer chicken to a plate, arranging skin side up.
Combine tomatoes, harissa paste, vinegar, 1 oregano sprig, and Â½ tsp. salt in same skillet. Increase heat to medium-high and cook, stirring occasionally, until tomatoes burst and their juices start to thicken, 8â€“10 minutes.
Nestle chicken thighs into tomatoes, skin side up. Reduce heat to medium-low, bring to a simmer, and cook until chicken is just cooked through and flesh is no longer pink (an instant-read thermometer inserted into the thickest part near the bone will register 165Â°F), and tomato sauce is thickened so that a wooden spoon dragged through it leaves a trail, 6â€“8 minutes. Remove from heat and let sit 5 minutes.
Break feta into large pieces; scatter over chicken. Some pieces will stay intact while others will soften into the sauce a littleâ€”and that's exactly what you want. Pick leaves off remaining 2 oregano sprigs and scatter on top.
Serve with bread for sopping up any extra tomato sauce.",chicken-thighs-with-tomatoes-and-feta,"['6 skin-on, bone-in chicken thighs (about 2Â¼ lb. total)', 'Â½ tsp. kosher salt, plus more', '1Â¼ lb. cherry tomatoes (about 2 pints)', 'Â¼ cup harissa paste', '3 Tbsp. red wine vinegar', '3 sprigs oregano, divided', '4 oz. feta, cut into (Â¼""-thick) planks', 'Crusty bread (for serving)']"
95,Corn and Chickpea Bowls With Miso Tahini,"['2 small jalapeÃ±os, seeded, chopped', '1 (Â¾-inch) piece ginger, peeled, finely grated', '2 small garlic cloves, finely grated', '1 cup (packed) cilantro leaves with tender stems', 'â…“ cup fresh lime juice', 'â…“ cup tahini', '1 Tbsp. plus 1Â½ tsp. miso', 'Kosher salt', '3 Tbsp. extra-virgin olive oil, divided, plus more for drizzling', '2 garlic cloves, lightly crushed', '1 (14-oz.) can chickpeas rinsed, drained', '3 ears of corn, shucked, kernels removed', '1 Tbsp. spice blend (such as zaâ€™atar, vadouvan, hawaij, or berbere)', 'Kosher salt', '4 cups tender greens (such as Little Gem lettuce and/or watercress), torn if large', '2 avocados, cut into wedges', '4 small tomatoes, cut into wedges', 'Crumbled feta, cilantro sprigs, and lime wedges (for serving)']","PurÃ©e jalapeÃ±os, ginger, garlic, cilantro, lime juice, tahini, miso, and 3 Tbsp. water in a blender until smooth. Season with salt.
Do Ahead: Dressing can be made 1 day ahead. Transfer to an airtight container and chill.
Heat 2 Tbsp. oil in a large skillet over medium. Add garlic and cook, turning occasionally, until golden brown, about 4 minutes. Mash garlic with a spoon and stir into oil. Add chickpeas and increase heat to medium-high. Cook, undisturbed, until golden brown and beginning to crisp underneath, about 3 minutes. Toss and continue to cook, tossing occasionally, until golden brown all over, about 2 minutes more. Add corn and 1 Tbsp. oil and cook, tossing, until corn kernels are golden around the edges and tender, 5â€“7 minutes. Sprinkle spice blend over and toss to coat. Season with salt.
Combine lettuce, avocados, and tomatoes in a large bowl. Drizzle lightly with oil and toss to combine. Season with salt.
Divide dressing among bowls and top with salad and chickpea mixture, then feta and some cilantro. Serve with lime wedges for squeezing over.",corn-and-chickpea-bowls-with-miso-tahini,"['2 small jalapeÃ±os, seeded, chopped', '1 (Â¾-inch) piece ginger, peeled, finely grated', '2 small garlic cloves, finely grated', '1 cup (packed) cilantro leaves with tender stems', 'â…“ cup fresh lime juice', 'â…“ cup tahini', '1 Tbsp. plus 1Â½ tsp. miso', 'Kosher salt', '3 Tbsp. extra-virgin olive oil, divided, plus more for drizzling', '2 garlic cloves, lightly crushed', '1 (14-oz.) can chickpeas rinsed, drained', '3 ears of corn, shucked, kernels removed', '1 Tbsp. spice blend (such as zaâ€™atar, vadouvan, hawaij, or berbere)', 'Kosher salt', '4 cups tender greens (such as Little Gem lettuce and/or watercress), torn if large', '2 avocados, cut into wedges', '4 small tomatoes, cut into wedges', 'Crumbled feta', 'cilantro sprigs', 'and lime wedges (for serving)']"
